id,title,subTitle,url,modelNumber,colourVariations,image,priceData,ratingCount,rating,isPrimeAvailable,wishlistEligible
KK1153,Handball Spezial Shoes,Originals,https://www.adidas.com/us/handball-spezial-shoes/KK1153.html,BTP23,"['KK1153', 'BD7632', 'BD7633', 'DB3021', 'IF7086', 'IF7087', 'IG6191', 'IG6192', 'IH6506', 'IH6507', 'IH6508', 'IH6568', 'IH6569', 'IH6586', 'IH6588', 'IH6592', 'IH6594', 'IH6597', 'IH6598', 'IH6617', 'IH6618', 'IH9668', 'IH9672', 'IH9760', 'KH9051', 'KI8580', 'KI8685', 'KI8686', 'KI8687', 'KJ2399', 'KJ2401', 'KJ7413', 'KJ7414', 'KJ7415', 'KJ9876', 'KJ9883', 'KJ9884', 'KJ9956', 'KJ9957', 'KJ9958', 'KJ9962', 'KJ9963', 'KJ9964', 'KJ9968', 'KJ9969', 'KJ9974', 'KJ9975', 'KK2692', 'KK2693', 'KK2694', 'KK4232', 'KK4242', 'KK4860', 'KK4867', 'KZ6702', 'KZ6703', 'KZ6704', 'KZ6705', 'KZ6706', 'KZ6707', 'KZ6712']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/349ec8b3dbb84fc382bdd9bea4c316a3_9366/Handball_Spezial_Shoes_Brown_KK1153_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 110, 'valueNoVat': 110}], 'isSoldOut': False}",9789,4.8179,True,True
IF7087,Handball Spezial Shoes,Originals,https://www.adidas.com/us/handball-spezial-shoes/IF7087.html,BTP23,"['IF7087', 'BD7632', 'BD7633', 'DB3021', 'IF7086', 'IG6191', 'IG6192', 'IH6506', 'IH6507', 'IH6508', 'IH6568', 'IH6569', 'IH6586', 'IH6588', 'IH6592', 'IH6594', 'IH6597', 'IH6598', 'IH6617', 'IH6618', 'IH9668', 'IH9672', 'IH9760', 'KH9051', 'KI8580', 'KI8685', 'KI8686', 'KI8687', 'KJ2399', 'KJ2401', 'KJ7413', 'KJ7414', 'KJ7415', 'KJ9876', 'KJ9883', 'KJ9884', 'KJ9956', 'KJ9957', 'KJ9958', 'KJ9962', 'KJ9963', 'KJ9964', 'KJ9968', 'KJ9969', 'KJ9974', 'KJ9975', 'KK1153', 'KK2692', 'KK2693', 'KK2694', 'KK4232', 'KK4242', 'KK4860', 'KK4867', 'KZ6702', 'KZ6703', 'KZ6704', 'KZ6705', 'KZ6706', 'KZ6707', 'KZ6712']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/53168a510a5a421281007a794fc4a6f0_9366/Handball_Spezial_Shoes_Blue_IF7087_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 110, 'valueNoVat': 110}], 'isSoldOut': False}",9789,4.8179,True,True
KZ6712,HANDBALL SPEZIAL SHOES,Originals,https://www.adidas.com/us/handball-spezial-shoes/KZ6712.html,BTP23,"['KZ6712', 'BD7632', 'BD7633', 'DB3021', 'IF7086', 'IF7087', 'IG6191', 'IG6192', 'IH6506', 'IH6507', 'IH6508', 'IH6568', 'IH6569', 'IH6586', 'IH6588', 'IH6592', 'IH6594', 'IH6597', 'IH6598', 'IH6617', 'IH6618', 'IH9668', 'IH9672', 'IH9760', 'KH9051', 'KI8580', 'KI8685', 'KI8686', 'KI8687', 'KJ2399', 'KJ2401', 'KJ7413', 'KJ7414', 'KJ7415', 'KJ9876', 'KJ9883', 'KJ9884', 'KJ9956', 'KJ9957', 'KJ9958', 'KJ9962', 'KJ9963', 'KJ9964', 'KJ9968', 'KJ9969', 'KJ9974', 'KJ9975', 'KK1153', 'KK2692', 'KK2693', 'KK2694', 'KK4232', 'KK4242', 'KK4860', 'KK4867', 'KZ6702', 'KZ6703', 'KZ6704', 'KZ6705', 'KZ6706', 'KZ6707']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/7794b849062041d28f28136a49083db1_9366/HANDBALL_SPEZIAL_SHOES_White_KZ6712_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 110, 'valueNoVat': 110}], 'isSoldOut': False}",9789,4.8179,True,False
KI6235,ADIDAS ADIPURE SHIFT RUNNING SHOES,Performance,https://www.adidas.com/us/adidas-adipure-shift-running-shoes/KI6235.html,OPC66,"['KI6235', 'KI6241', 'KJ9400', 'KJ9402']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/38fb6f4feaa443399b87245e23594349_9366/ADIDAS_ADIPURE_SHIFT_RUNNING_SHOES_Blue_KI6235_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 80, 'valueNoVat': 80}], 'isSoldOut': False}",83,4.7711,,True
KZ7294,LARRY JUNE ADISTAR CONTROL 5 Shoes,Originals,https://www.adidas.com/us/larry-june-adistar-control-5-shoes/KZ7294.html,ORD05,[],"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/37dc30f1e6334bda964354c3cb96b7f6_9366/LARRY_JUNE_ADISTAR_CONTROL_5_Shoes_Red_KZ7294_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 160, 'valueNoVat': 160}], 'isSoldOut': False}",-99,,,True
ID1481,Samba OG Shoes,Originals,https://www.adidas.com/us/samba-og-shoes/ID1481.html,SAMBAU2312,"['ID1481', 'B75806', 'B75807', 'HP3551', 'HQ4950', 'HQ4951', 'IE3438', 'IH4388', 'IH4389', 'IH6813', 'IH6815', 'IH6816', 'IH6827', 'IH6828', 'IH6829', 'JR0882', 'JR0910', 'JR0911', 'JS3832', 'KJ2382', 'KJ2788', 'KJ9995', 'KJ9997', 'KK2266', 'KK2267', 'KK2268', 'KK2272', 'KK2273', 'KK2274', 'KK2277', 'KK2278', 'KK2279', 'KK2280', 'KK2329', 'KK2330', 'KK2331', 'KK2332', 'KK2333', 'KK3271', 'KK3273', 'KK3274', 'KK3275', 'KZ6720', 'LA3984']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/ad55ee55e5a3426b9b394e7362c43210_9366/Samba_OG_Shoes_Brown_ID1481_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 100, 'valueNoVat': 100}], 'isSoldOut': False}",3269,4.8107,True,True
JR8058,Response Runner Shoes,Performance,https://www.adidas.com/us/response-runner-shoes/JR8058.html,NJG40,"['JR8058', 'IH6100', 'IH6102', 'IH6103', 'IH6106']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/4fde53776ca64e6f98209fd5ac4166d2_9366/Response_Runner_Shoes_Black_JR8058_HM1.jpg","{'prices': [{'type': 'sale', 'value': 45, 'valueNoVat': 45}, {'type': 'original', 'value': 50, 'valueNoVat': 50, 'discountPercentage': -10}], 'isSoldOut': False}",267,4.6368,True,True
B75807,Samba OG Shoes,Originals,https://www.adidas.com/us/samba-og-shoes/B75807.html,SAMBAU2312,"['B75807', 'B75806', 'HP3551', 'HQ4950', 'HQ4951', 'ID1481', 'IE3438', 'IH4388', 'IH4389', 'IH6813', 'IH6815', 'IH6816', 'IH6827', 'IH6828', 'IH6829', 'JR0882', 'JR0910', 'JR0911', 'JS3832', 'KJ2382', 'KJ2788', 'KJ9995', 'KJ9997', 'KK2266', 'KK2267', 'KK2268', 'KK2272', 'KK2273', 'KK2274', 'KK2277', 'KK2278', 'KK2279', 'KK2280', 'KK2329', 'KK2330', 'KK2331', 'KK2332', 'KK2333', 'KK3271', 'KK3273', 'KK3274', 'KK3275', 'KZ6720', 'LA3984']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/ee99b4b9bde74f30a933a8bf011911ae_9366/Samba_OG_Shoes_Black_B75807_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 100, 'valueNoVat': 100}], 'isSoldOut': False}",3269,4.8107,True,True
KI4803,Adizero EVO SL Shoes,Men Performance,https://www.adidas.com/us/adizero-evo-sl-shoes/KI4803.html,NRW94,"['KI4803', 'JH6206', 'JP7149', 'JR3419', 'JS4487', 'JS4494', 'JS4495', 'KH9575', 'KH9576', 'KH9578', 'KH9579', 'KH9604', 'KH9858', 'KI3381', 'KI3946', 'KI6923', 'KI9542', 'KI9873', 'KI9874', 'KJ1959', 'KJ8336', 'KJ9664']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/e6c17a136f904ba6818244d85aeeaebc_9366/Adizero_EVO_SL_Shoes_Beige_KI4803_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 150, 'valueNoVat': 150}], 'isSoldOut': False}",6528,4.7407,True,True
B75806,Samba OG Shoes,Originals,https://www.adidas.com/us/samba-og-shoes/B75806.html,SAMBAU2312,"['B75806', 'B75807', 'HP3551', 'HQ4950', 'HQ4951', 'ID1481', 'IE3438', 'IH4388', 'IH4389', 'IH6813', 'IH6815', 'IH6816', 'IH6827', 'IH6828', 'IH6829', 'JR0882', 'JR0910', 'JR0911', 'JS3832', 'KJ2382', 'KJ2788', 'KJ9995', 'KJ9997', 'KK2266', 'KK2267', 'KK2268', 'KK2272', 'KK2273', 'KK2274', 'KK2277', 'KK2278', 'KK2279', 'KK2280', 'KK2329', 'KK2330', 'KK2331', 'KK2332', 'KK2333', 'KK3271', 'KK3273', 'KK3274', 'KK3275', 'KZ6720', 'LA3984']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/9b983d5bc09a4d4aba39a8bf011869ba_9366/Samba_OG_Shoes_White_B75806_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 100, 'valueNoVat': 100}], 'isSoldOut': False}",3269,4.8107,True,True
